Source,Target
52,104
52,109
52,80
42,78
42,89
31,73
31,110
43,78
43,118
10,65
27,71
27,93
27,100
27,101
28,71
28,85
28,88
28,91
17,69
17,82
17,98
38,77
38,109
44,78
44,109
19,70
19,95
56,89
56,104
56,122
18,69
18,88
18,108
55,88
2,63
2,79
37,76
37,111
4,64
4,89
4,127
39,77
39,84
39,91
30,72
30,120
20,70
20,99
20,113
5,64
5,70
5,96
5,115
35,74
35,117
13,67
13,113
58,108
11,66
11,90
11,109
14,68
14,87
21,70
21,82
21,96
21,98
21,99
21,113
21,114
21,115
21,123
21,127
45,78
45,92
45,94
46,78
46,120
6,64
6,102
6,126
15,68
22,70
22,83
16,68
16,107
40,77
40,109
8,65
8,89
8,91
29,71
29,93
29,101
47,78
47,98
1,62
1,81
48,78
48,97
48,98
48,107
48,115
48,118
48,128
48,132
49,78
49,124
49,125
49,132
34,73
9,65
50,78
50,110
36,75
36,116
23,64
23,70
23,84
23,99
23,122
23,123
12,104
7,64
7,102
54,83
60,78
60,125
3,63
3,86
24,70
24,95
41,77
41,84
41,100
41,103
41,105
41,121
41,122
57,106
26,70
53,82
53,98
51,78
51,104
51,112
51,120
51,133
33,73
25,70
25,95
