id,name
1,Michael Martin
2,Douglas Parks
3,Stacie King
4,Ellen MacKay
5,Grant Simpson
6,Justin Hodgson
7,Scot Barnett
8,Margaret Dolinsky
9,Peter Williams
10,Arthur Liou
11,Jason Jackson
12,Ruth Stone
13,H. Wayne Storey
14,Jennifer Guiliano
15,Kalani Craig
16,Konstantin Dierks
17,Bill Newman
18,Colin Allen
19,Cassidy Sugimoto
20,Grace Thomas
21,John Walsh
22,Katy Borner
23,Richard Higgins
24,Stasia Milojevic
25,Ying Ding
26,Vincent Malic
27,Bernie Frischer
28,Beth Plale
29,Matthew Brennan
30,Erika Dowell
31,Andy Uhrich
32,Ron Osgood
33,Will Emigh
34,Norbert Herber
35,Guiliano Di Bacco
36,Rega Wood
37,Edward Curtis IV
38,Brad Wheeler
39,Eric Wernert
40,Laurie Antolivic
41,Tassie Gniady
42,Andrew Albrecht
43,Angela Courtney
44,Brenda Johnson
45,Jon Dunn
46,Julie Hardesty
47,Meridith Beck Sayre
48,Michelle Dalmau
49,Nick Homeda
50,Rachael Stoeltje
51,Will Cowan
52,Alan Burdette
53,Wally Hooper
54,Scott Weingart
55,Dirk Herr-Hoyman
56,Clara Henderson
57,Verlon Stone
58,Jaimie Murdock
59,Nick Homenda
60,Sheyna Pekala
61,Ellen McKay
62,American Studies
63,Anthropology
64,English
65,Fine Arts
66,Folklore and Ethnomusicology
67,French and Italian
68,History
69,History & Philosophy of Science
70,Information & Library Science
71,Informatics
72,Lilly Library
73,Media School
74,Music
75,Philosophy
76,Religious Studies
77,UITS
78,Wells Library
79,American Indian Studies Research Institute
80,Archives of Traditional Music
81,Black Film Archive
82,Catapult Center
83,Cyberinfrastructure for Network Science
84,CyberDH
85,Data to Insight Center
86,Glenn Black Lab
87,Humanities Intensive Learning and Teaching Institute
88,Hathi Trust Research Center
89,Institute for Digital Arts & Humanities
90,Mathers Museum of World Culture
91,Pervasive Technology Institute
92,Variations
93,Virtual World Heritage Laboratory
94,Avalon
95,"Cascades, Islands, or Streams?"
96,Comic Book Markup Language
97,Charles Cushman Photographs
98,Chymistry of Isaac Newton
99,Comic Readership Archive
100,Digital Applications in Archaeology and Cultural Heritage
101,Digital Hadrian's Villa
102,Digital Rhetorics & Digital Humanities
103,English Broadside Ballad Archive
104,EVIA
105,FemTechNet
106,Liberian Collections
107,Mapping World History
108,Indiana Philosophy Ontology
109,Media Data Preservation Initiative 
110,Moving Image Archive
111,Muslim American Identities
112,Oufinopo
113,Petrarchive
114,Swinburne Project
115,TEI Boilerplate
116,Richard Rufus Project
117,Thesaurus Musicarum Latinarum
118,Victorian Women Writers Project
119,Vietnam War: Stories from All Sides
120,War of 1812
121,Wikipedia Edit-a-Thons
122,HASTAC
123,ADHO Abstracts
124,Digital Initiatives
125,Open Journal System 
126,TheJUMP journal
127,Dig Arts & Hum
